date,county,cases,deaths
3/1/2020,New York,1,0
3/2/2020,New York,1,0
3/3/2020,New York,2,0
3/4/2020,New York,2,0
3/4/2020,Westchester,9,0
3/5/2020,Nassau,1,0
3/5/2020,New York,4,0
3/5/2020,Westchester,17,0
3/6/2020,Nassau,4,0
3/6/2020,New York,5,0
3/6/2020,Rockland,2,0
3/6/2020,Westchester,33,0
3/7/2020,Nassau,4,0
3/7/2020,New York,12,0
3/7/2020,Rockland,2,0
3/7/2020,Saratoga,2,0
3/7/2020,Westchester,69,0
3/8/2020,Nassau,5,0
3/8/2020,New York,14,0
3/8/2020,Rockland,2,0
3/8/2020,Saratoga,2,0
3/8/2020,Suffolk,1,0
3/8/2020,Ulster,1,0
3/8/2020,Westchester,81,0
3/9/2020,Nassau,17,0
3/9/2020,New York,20,0
3/9/2020,Rockland,4,0
3/9/2020,Saratoga,2,0
3/9/2020,Suffolk,1,0
3/9/2020,Ulster,1,0
3/9/2020,Westchester,97,0
3/10/2020,Nassau,19,0
3/10/2020,New York,37,0
3/10/2020,Rockland,6,0
3/10/2020,Saratoga,2,0
3/10/2020,Suffolk,1,0
3/10/2020,Ulster,1,0
3/10/2020,Westchester,107,0
3/11/2020,Monroe,1,0
3/11/2020,Nassau,28,0
3/11/2020,New York,52,0
3/11/2020,Rockland,6,0
3/11/2020,Saratoga,2,0
3/11/2020,Suffolk,6,0
3/11/2020,Ulster,2,0
3/11/2020,Westchester,120,0
3/12/2020,Albany,2,0
3/12/2020,Delaware,1,0
3/12/2020,Dutchess,1,0
3/12/2020,Herkimer,1,0
3/12/2020,Monroe,1,0
3/12/2020,Nassau,41,0
3/12/2020,New York,96,0
3/12/2020,Orange,1,0
3/12/2020,Rockland,7,0
3/12/2020,Saratoga,3,0
3/12/2020,Suffolk,21,0
3/12/2020,Ulster,4,0
3/12/2020,Westchester,147,0
3/13/2020,Albany,2,0
3/13/2020,Delaware,1,0
3/13/2020,Dutchess,3,0
3/13/2020,Herkimer,1,0
