date,county_code,county,avg_aqi_value
1/1/2020,1,Albany,11
1/1/2020,5,Bronx,20.4
1/1/2020,29,Erie,34
1/1/2020,31,Essex,0
1/1/2020,47,Kings,22.66666667
1/1/2020,55,Monroe,24
1/1/2020,59,Nassau,31
1/1/2020,61,New York,25.2
1/1/2020,65,Oneida,30
1/1/2020,67,Onondaga,19
1/1/2020,71,Orange,21
1/1/2020,81,Queens,15
1/1/2020,85,Richmond,22.66666667
1/1/2020,87,Rockland,30
1/1/2020,101,Steuben,17.5
1/1/2020,103,Suffolk,19
1/1/2020,119,Westchester,30
1/2/2020,1,Albany,38
1/2/2020,5,Bronx,51.33333333
1/2/2020,29,Erie,35.66666667
1/2/2020,47,Kings,48
1/2/2020,55,Monroe,30.5
1/2/2020,61,New York,52
1/2/2020,65,Oneida,37
1/2/2020,67,Onondaga,24
1/2/2020,71,Orange,41
1/2/2020,81,Queens,46
1/2/2020,85,Richmond,50
1/2/2020,87,Rockland,43
1/2/2020,101,Steuben,19
1/2/2020,103,Suffolk,43
1/2/2020,119,Westchester,45
1/3/2020,1,Albany,54
1/3/2020,5,Bronx,61.66666667
1/3/2020,29,Erie,42.66666667
1/3/2020,47,Kings,55.5
1/3/2020,55,Monroe,50.5
1/3/2020,59,Nassau,53
1/3/2020,61,New York,60.33333333
1/3/2020,65,Oneida,40
1/3/2020,67,Onondaga,45
1/3/2020,71,Orange,57
1/3/2020,81,Queens,57.33333333
1/3/2020,85,Richmond,54
1/3/2020,87,Rockland,55
1/3/2020,101,Steuben,26
1/3/2020,103,Suffolk,52
1/3/2020,119,Westchester,54
1/4/2020,1,Albany,53
1/4/2020,5,Bronx,51
1/4/2020,29,Erie,24.66666667
1/4/2020,31,Essex,6
1/4/2020,47,Kings,43
1/4/2020,55,Monroe,23
1/4/2020,59,Nassau,43
1/4/2020,61,New York,52.66666667
1/4/2020,65,Oneida,24
1/4/2020,67,Onondaga,48
1/4/2020,71,Orange,45
1/4/2020,81,Queens,48.33333333
1/4/2020,85,Richmond,37
1/4/2020,87,Rockland,38
1/4/2020,101,Steuben,19
1/4/2020,103,Suffolk,45
1/4/2020,119,Westchester,41
1/5/2020,1,Albany,12
1/5/2020,5,Bronx,22
1/5/2020,29,Erie,23.33333333
1/5/2020,31,Essex,6
1/5/2020,47,Kings,28
1/5/2020,55,Monroe,21
1/5/2020,59,Nassau,28
1/5/2020,61,New York,33
1/5/2020,65,Oneida,23
1/5/2020,67,Onondaga,13
1/5/2020,71,Orange,27
1/5/2020,81,Queens,20.33333333
1/5/2020,85,Richmond,25
1/5/2020,87,Rockland,28
1/5/2020,101,Steuben,10
1/5/2020,103,Suffolk,30
1/5/2020,119,Westchester,29
1/6/2020,1,Albany,29
1/6/2020,5,Bronx,42
1/6/2020,29,Erie,32.66666667
1/6/2020,31,Essex,5
1/6/2020,47,Kings,39.5
1/6/2020,55,Monroe,27.5
1/6/2020,59,Nassau,39
1/6/2020,61,New York,43.33333333
1/6/2020,65,Oneida,28
1/6/2020,67,Onondaga,20
1/6/2020,71,Orange,35
1/6/2020,81,Queens,36.33333333
1/6/2020,85,Richmond,37.5
1/6/2020,87,Rockland,32
1/6/2020,101,Steuben,17
1/6/2020,103,Suffolk,39
1/7/2020,1,Albany,29
1/7/2020,5,Bronx,37
1/7/2020,29,Erie,32.33333333
1/7/2020,31,Essex,5
1/7/2020,47,Kings,39
1/7/2020,55,Monroe,32.5
1/7/2020,59,Nassau,35
1/7/2020,61,New York,43
1/7/2020,65,Oneida,28
1/7/2020,67,Onondaga,20
1/7/2020,71,Orange,38
1/7/2020,81,Queens,35.33333333
1/7/2020,85,Richmond,37.5
1/7/2020,87,Rockland,32
1/7/2020,101,Steuben,24
1/7/2020,103,Suffolk,33
1/7/2020,119,Westchester,30
1/8/2020,1,Albany,31
1/8/2020,5,Bronx,35
1/8/2020,29,Erie,35
1/8/2020,31,Essex,13
1/8/2020,47,Kings,36.5
1/8/2020,55,Monroe,28
1/8/2020,59,Nassau,40
1/8/2020,61,New York,43.66666667
1/8/2020,65,Oneida,33
1/8/2020,67,Onondaga,20
1/8/2020,71,Orange,39
1/8/2020,81,Queens,36
1/8/2020,85,Richmond,35.5
1/8/2020,87,Rockland,35
1/8/2020,101,Steuben,16
1/8/2020,103,Suffolk,40
1/8/2020,119,Westchester,37
1/9/2020,1,Albany,17
1/9/2020,5,Bronx,28.66666667
1/9/2020,29,Erie,31.5
1/9/2020,31,Essex,6
1/9/2020,47,Kings,34
1/9/2020,55,Monroe,25.5
1/9/2020,59,Nassau,34
1/9/2020,61,New York,40.33333333
1/9/2020,65,Oneida,28
1/9/2020,67,Onondaga,15
1/9/2020,71,Orange,33
1/9/2020,81,Queens,29.33333333
1/9/2020,85,Richmond,34.5
1/9/2020,87,Rockland,32
1/9/2020,101,Steuben,21
1/9/2020,103,Suffolk,41
1/9/2020,119,Westchester,32
1/10/2020,1,Albany,32
1/10/2020,5,Bronx,39.66666667
1/10/2020,29,Erie,38.5
1/10/2020,31,Essex,13
1/10/2020,47,Kings,39
1/10/2020,55,Monroe,39
1/10/2020,59,Nassau,36
1/10/2020,61,New York,45
1/10/2020,65,Oneida,43
1/10/2020,67,Onondaga,33
1/10/2020,71,Orange,49
1/10/2020,81,Queens,35
1/10/2020,85,Richmond,40.5
1/10/2020,87,Rockland,34
1/10/2020,101,Steuben,34
1/10/2020,103,Suffolk,33
1/10/2020,119,Westchester,35
1/11/2020,1,Albany,35
1/11/2020,5,Bronx,46.33333333
1/11/2020,29,Erie,22.5
1/11/2020,31,Essex,6
1/11/2020,47,Kings,47
1/11/2020,55,Monroe,24
1/11/2020,59,Nassau,40
