county_code,county,state,density
1,Albany,NY,570.74
3,Allegany,NY,47.34
5,Bronx,NY,24118.2
7,Broome,NY,280.56
9,Cattaraugus,NY,61.31
11,Cayuga,NY,92.62
13,Chautauqua,NY,89.94
15,Chemung,NY,216.23
17,Chenango,NY,56.16
19,Clinton,NY,73.46
21,Columbia,NY,97.37
23,Cortland,NY,98.28
25,Delaware,NY,32.68
27,Dutchess,NY,360.59
29,Erie,NY,749.02
31,Essex,NY,20.55
33,Franklin,NY,30.41
35,Fulton,NY,104.19
37,Genesee,NY,121.37
39,Greene,NY,74.8
41,Hamilton,NY,2.67
43,Herkimer,NY,44.25
45,Jefferson,NY,62.59
47,Kings,NY,25848.3
49,Lewis,NY,21
51,Livingston,NY,102.18
53,Madison,NY,110.94
55,Monroe,NY,544.91
57,Montgomery,NY,122.49
59,Nassau,NY,2957.02
61,New York,NY,46961
63,Niagara,NY,189.89
65,Oneida,NY,193.63
67,Onondaga,NY,579.44
69,Ontario,NY,163.04
71,Orange,NY,444.35
73,Orleans,NY,52.49
75,Oswego,NY,93.07
77,Otsego,NY,62.07
79,Putnam,NY,405.33
81,Queens,NY,12512.46
83,Rensselaer,NY,239.74
85,Richmond,NY,4572.98
87,Rockland,NY,1566.27
89,St. Lawrence,NY,39.68
91,Saratoga,NY,260.2
93,Schenectady,NY,736.8
95,Schoharie,NY,51.84
97,Schuyler,NY,53.63
99,Seneca,NY,108.46
101,Steuben,NY,70.51
103,Suffolk,NY,629.31
105,Sullivan,NY,77.78
107,Tioga,NY,97.75
109,Tompkins,NY,213.37
111,Ulster,NY,157.19
113,Warren,NY,75.53
115,Washington,NY,74.72
117,Wayne,NY,67.75
119,Westchester,NY,1898.23
121,Wyoming,NY,70.73
123,Yates,NY,67.41
