Date,COUNTY,Average DAILY_AQI_VALUE
01/01/2020,Albany,11.0
01/01/2020,Bronx,20.4
01/01/2020,Erie,34.0
01/01/2020,Essex,0.0
01/01/2020,Kings,22.666666666666668
01/01/2020,Monroe,24.0
01/01/2020,Nassau,31.0
01/01/2020,New York,25.2
01/01/2020,Oneida,30.0
01/01/2020,Onondaga,19.0
01/01/2020,Orange,21.0
01/01/2020,Queens,15.0
01/01/2020,Richmond,22.666666666666668
01/01/2020,Rockland,30.0
01/01/2020,Steuben,17.5
01/01/2020,Suffolk,19.0
01/01/2020,Westchester,30.0
01/02/2020,Albany,38.0
01/02/2020,Bronx,51.333333333333336
01/02/2020,Erie,35.666666666666664
01/02/2020,Kings,48.0
01/02/2020,Monroe,30.5
01/02/2020,New York,52.0
01/02/2020,Oneida,37.0
01/02/2020,Onondaga,24.0
01/02/2020,Orange,41.0
01/02/2020,Queens,46.0
01/02/2020,Richmond,50.0
01/02/2020,Rockland,43.0
01/02/2020,Steuben,19.0
01/02/2020,Suffolk,43.0
01/02/2020,Westchester,45.0
01/03/2020,Albany,54.0
01/03/2020,Bronx,61.666666666666664
01/03/2020,Erie,42.666666666666664
01/03/2020,Kings,55.5
01/03/2020,Monroe,50.5
01/03/2020,Nassau,53.0
01/03/2020,New York,60.333333333333336
01/03/2020,Oneida,40.0
01/03/2020,Onondaga,45.0
01/03/2020,Orange,57.0
01/03/2020,Queens,57.333333333333336
01/03/2020,Richmond,54.0
01/03/2020,Rockland,55.0
01/03/2020,Steuben,26.0
01/03/2020,Suffolk,52.0
01/03/2020,Westchester,54.0
01/04/2020,Albany,53.0
01/04/2020,Bronx,51.0
01/04/2020,Erie,24.666666666666668
01/04/2020,Essex,6.0
01/04/2020,Kings,43.0
01/04/2020,Monroe,23.0
01/04/2020,Nassau,43.0
01/04/2020,New York,52.666666666666664
01/04/2020,Oneida,24.0
01/04/2020,Onondaga,48.0
01/04/2020,Orange,45.0
01/04/2020,Queens,48.333333333333336
01/04/2020,Richmond,37.0
01/04/2020,Rockland,38.0
01/04/2020,Steuben,19.0
01/04/2020,Suffolk,45.0
01/04/2020,Westchester,41.0
01/05/2020,Albany,12.0
01/05/2020,Bronx,22.0
01/05/2020,Erie,23.333333333333332
01/05/2020,Essex,6.0
01/05/2020,Kings,28.0
01/05/2020,Monroe,21.0
01/05/2020,Nassau,28.0
01/05/2020,New York,33.0
01/05/2020,Oneida,23.0
01/05/2020,Onondaga,13.0
01/05/2020,Orange,27.0
01/05/2020,Queens,20.333333333333332
01/05/2020,Richmond,25.0
01/05/2020,Rockland,28.0
01/05/2020,Steuben,10.0
01/05/2020,Suffolk,30.0
01/05/2020,Westchester,29.0
