county,state,fips,cases,deaths,date,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,CBSA_NAME,STATE,FIPS Code,COUNTY
New York City,New York,,1,0,03/01/2020,5.6,ug/m3 LC,23,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
New York City,New York,,1,0,03/01/2020,6.8,ug/m3 LC,28,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
New York City,New York,,1,0,03/01/2020,-1.7,ug/m3 LC,0,WHITEFACE BASE,,New York,31,Essex
New York City,New York,,1,0,03/01/2020,8.0,ug/m3 LC,33,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
New York City,New York,,1,0,03/01/2020,6.1,ug/m3 LC,25,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
New York City,New York,,1,0,03/01/2020,4.2,ug/m3 LC,18,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,1,0,03/01/2020,6.5,ug/m3 LC,27,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,1,0,03/01/2020,4.8,ug/m3 LC,20,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
New York City,New York,,1,0,03/02/2020,10.1,ug/m3 LC,42,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
New York City,New York,,1,0,03/02/2020,10.4,ug/m3 LC,43,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
New York City,New York,,1,0,03/02/2020,-1.8,ug/m3 LC,0,WHITEFACE BASE,,New York,31,Essex
New York City,New York,,1,0,03/02/2020,9.8,ug/m3 LC,41,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
New York City,New York,,1,0,03/02/2020,8.2,ug/m3 LC,34,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
New York City,New York,,1,0,03/02/2020,10.3,ug/m3 LC,43,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,1,0,03/02/2020,12.0,ug/m3 LC,50,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,1,0,03/02/2020,7.8,ug/m3 LC,33,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
New York City,New York,,2,0,03/03/2020,13.8,ug/m3 LC,55,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
New York City,New York,,2,0,03/03/2020,7.8,ug/m3 LC,33,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
New York City,New York,,2,0,03/03/2020,1.7,ug/m3 LC,7,WHITEFACE BASE,,New York,31,Essex
New York City,New York,,2,0,03/03/2020,9.8,ug/m3 LC,41,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
New York City,New York,,2,0,03/03/2020,13.3,ug/m3 LC,54,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
New York City,New York,,2,0,03/03/2020,11.2,ug/m3 LC,47,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,2,0,03/03/2020,10.7,ug/m3 LC,45,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,2,0,03/03/2020,5.7,ug/m3 LC,24,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
New York City,New York,,2,0,03/04/2020,7.4,ug/m3 LC,31,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
New York City,New York,,2,0,03/04/2020,6.3,ug/m3 LC,26,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
New York City,New York,,2,0,03/04/2020,3.8,ug/m3 LC,16,WHITEFACE BASE,,New York,31,Essex
New York City,New York,,2,0,03/04/2020,5.9,ug/m3 LC,25,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
New York City,New York,,2,0,03/04/2020,8.5,ug/m3 LC,35,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
New York City,New York,,2,0,03/04/2020,4.0,ug/m3 LC,17,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,2,0,03/04/2020,5.5,ug/m3 LC,23,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,2,0,03/04/2020,5.8,ug/m3 LC,24,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Westchester,New York,36119.0,9,0,03/04/2020,7.4,ug/m3 LC,31,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Westchester,New York,36119.0,9,0,03/04/2020,6.3,ug/m3 LC,26,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Westchester,New York,36119.0,9,0,03/04/2020,3.8,ug/m3 LC,16,WHITEFACE BASE,,New York,31,Essex
Westchester,New York,36119.0,9,0,03/04/2020,5.9,ug/m3 LC,25,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Westchester,New York,36119.0,9,0,03/04/2020,8.5,ug/m3 LC,35,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Westchester,New York,36119.0,9,0,03/04/2020,4.0,ug/m3 LC,17,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
