county,state,fips,cases,deaths,date
New York City,New York,,1,0,03/01/2020
New York City,New York,,1,0,03/02/2020
New York City,New York,,2,0,03/03/2020
New York City,New York,,2,0,03/04/2020
Westchester,New York,36119.0,9,0,03/04/2020
Nassau,New York,36059.0,1,0,03/05/2020
New York City,New York,,4,0,03/05/2020
Westchester,New York,36119.0,17,0,03/05/2020
Nassau,New York,36059.0,4,0,03/06/2020
New York City,New York,,5,0,03/06/2020
Rockland,New York,36087.0,2,0,03/06/2020
Westchester,New York,36119.0,33,0,03/06/2020
Nassau,New York,36059.0,4,0,03/07/2020
New York City,New York,,12,0,03/07/2020
Rockland,New York,36087.0,2,0,03/07/2020
Saratoga,New York,36091.0,2,0,03/07/2020
Westchester,New York,36119.0,69,0,03/07/2020
Nassau,New York,36059.0,5,0,03/08/2020
New York City,New York,,14,0,03/08/2020
Rockland,New York,36087.0,2,0,03/08/2020
Saratoga,New York,36091.0,2,0,03/08/2020
Suffolk,New York,36103.0,1,0,03/08/2020
Ulster,New York,36111.0,1,0,03/08/2020
Westchester,New York,36119.0,81,0,03/08/2020
Nassau,New York,36059.0,17,0,03/09/2020
New York City,New York,,20,0,03/09/2020
Rockland,New York,36087.0,4,0,03/09/2020
Saratoga,New York,36091.0,2,0,03/09/2020
Suffolk,New York,36103.0,1,0,03/09/2020
Ulster,New York,36111.0,1,0,03/09/2020
Westchester,New York,36119.0,97,0,03/09/2020
Nassau,New York,36059.0,19,0,03/10/2020
New York City,New York,,37,0,03/10/2020
Rockland,New York,36087.0,6,0,03/10/2020
Saratoga,New York,36091.0,2,0,03/10/2020
Suffolk,New York,36103.0,1,0,03/10/2020
Ulster,New York,36111.0,1,0,03/10/2020
Westchester,New York,36119.0,107,0,03/10/2020
Monroe,New York,36055.0,1,0,03/11/2020
Nassau,New York,36059.0,28,0,03/11/2020
New York City,New York,,52,0,03/11/2020
Rockland,New York,36087.0,6,0,03/11/2020
Saratoga,New York,36091.0,2,0,03/11/2020
Suffolk,New York,36103.0,6,0,03/11/2020
Ulster,New York,36111.0,2,0,03/11/2020
Westchester,New York,36119.0,120,0,03/11/2020
Albany,New York,36001.0,2,0,03/12/2020
Delaware,New York,36025.0,1,0,03/12/2020
Dutchess,New York,36027.0,1,0,03/12/2020
Herkimer,New York,36043.0,1,0,03/12/2020
Monroe,New York,36055.0,1,0,03/12/2020
Nassau,New York,36059.0,41,0,03/12/2020
New York City,New York,,96,0,03/12/2020
Orange,New York,36071.0,1,0,03/12/2020
Rockland,New York,36087.0,7,0,03/12/2020
Saratoga,New York,36091.0,3,0,03/12/2020
Suffolk,New York,36103.0,21,0,03/12/2020
Ulster,New York,36111.0,4,0,03/12/2020
Westchester,New York,36119.0,147,0,03/12/2020
Albany,New York,36001.0,2,0,03/13/2020
Delaware,New York,36025.0,1,0,03/13/2020
Dutchess,New York,36027.0,3,0,03/13/2020
Herkimer,New York,36043.0,1,0,03/13/2020
Monroe,New York,36055.0,1,0,03/13/2020
Nassau,New York,36059.0,51,0,03/13/2020
New York City,New York,,155,0,03/13/2020
Orange,New York,36071.0,3,0,03/13/2020
Rockland,New York,36087.0,9,0,03/13/2020
Saratoga,New York,36091.0,3,0,03/13/2020
Schenectady,New York,36093.0,1,0,03/13/2020
Suffolk,New York,36103.0,29,0,03/13/2020
Ulster,New York,36111.0,5,0,03/13/2020
Westchester,New York,36119.0,157,0,03/13/2020
Albany,New York,36001.0,5,0,03/14/2020
Broome,New York,36007.0,1,0,03/14/2020
Delaware,New York,36025.0,1,0,03/14/2020
Dutchess,New York,36027.0,4,0,03/14/2020
Herkimer,New York,36043.0,1,0,03/14/2020
Monroe,New York,36055.0,2,0,03/14/2020
Nassau,New York,36059.0,79,0,03/14/2020
New York City,New York,,269,1,03/14/2020
Orange,New York,36071.0,6,0,03/14/2020
Rockland,New York,36087.0,12,1,03/14/2020
Saratoga,New York,36091.0,3,0,03/14/2020
Schenectady,New York,36093.0,1,0,03/14/2020
Suffolk,New York,36103.0,41,0,03/14/2020
Tioga,New York,36107.0,1,0,03/14/2020
Tompkins,New York,36109.0,1,0,03/14/2020
Ulster,New York,36111.0,5,0,03/14/2020
Westchester,New York,36119.0,178,0,03/14/2020
Albany,New York,36001.0,11,0,03/15/2020
Broome,New York,36007.0,1,0,03/15/2020
Delaware,New York,36025.0,1,0,03/15/2020
Dutchess,New York,36027.0,7,0,03/15/2020
Erie,New York,36029.0,3,0,03/15/2020
Greene,New York,36039.0,2,0,03/15/2020
